tipo_bem,nome_bem,latitude,longitude,ponto,url,mes_registro_nome,data_registro,ID,post_date,post_status,uf_estado,livro_de_registro,denominacao,abrangência_registro,instituições_parceiras,uf_iso,mes_registro_num,codigo_iphan,ds_classificacao,ds_natureza,ds_tipo_bem,tipo_logradouro,nome_municipio,Década do Tombamento,Data do pedido,Ano do Registro ou Tombamento
Bens Registrados,Ofício das Paneleiras de Goiabeiras,-20.269657911389054,-40.30310238751671,"[-20.269657911389054,-40.30310238751671]",https://bcr.iphan.gov.br/bens-culturais/oficio-das-paneleiras-de-goiabeiras/,Dezembro,2002-12-20,66031,"Mar 28, 2023, 11:04 PM",publish,ES,Livro dos Saberes,Ofício das Paneleiras de Goiabeiras,local,,BR-ES,12,,,,,,,,,2002
Bens Registrados,Arte Kusiwa - Pintura Corporal e Arte Gráfica Wajápi,1.0991473423028404,-52.87938237104025,"[1.0991473423028404,-52.87938237104025]",https://bcr.iphan.gov.br/bens-culturais/arte-kusiwa-pintura-corporal-e-arte-grafica-wajapi/,Dezembro,2002-12-20,66033,"Mar 28, 2023, 11:04 PM",publish,AP,Livro das Formas de Expressão,Arte Kusiwa - Pintura Corporal e Arte Gráfica Wajápi,local,Instituto de Pesquisa e Formação em Educação Índigena,BR-AP,12,,,,,,,,,2002
Bens Registrados,Samba de Roda do Recôncavo Baiano,-12.976204092208183,-38.51315572941381,"[-12.976204092208183,-38.51315572941381]",https://bcr.iphan.gov.br/bens-culturais/samba-de-roda-do-reconcavo-baiano/,Outubro,2004-10-05,66035,"Mar 28, 2023, 11:04 PM",publish,BA,Livro das Formas de Expressão,Samba de Roda do Recôncavo Baiano,estadual,ASSEBA (Associação dos Sambadores e Sambadeiras do Estado da Bahia),BR-BA,10,,,,,,,,,2004
Bens Registrados,Círio de Nossa Senhora de Nazaré,-1.4526319517160493,-48.48103723811011,"[-1.4526319517160493,-48.48103723811011]",https://bcr.iphan.gov.br/bens-culturais/cirio-de-nossa-senhora-de-nazare/,Outubro,2004-10-05,66037,"Mar 28, 2023, 11:04 PM",publish,PA,Livro das Celebrações,Círio de Nossa Senhora de Nazaré,local,Obras Sociais da Paróquia de Nazaré,BR-PA,10,,,,,,,,,2004
Bens Registrados,Modo de fazer Viola-de-Cocho,-15.595335432627492,-56.09326131146224,"[-15.595335432627493,-56.09326131146224]",https://bcr.iphan.gov.br/bens-culturais/modo-de-fazer-viola-de-cocho/,Janeiro,2005-01-14,66039,"Mar 28, 2023, 11:04 PM",publish,MT,Livro dos Saberes,Modo de fazer Viola-de-Cocho,regional,Fundação de Cultura e Turismo do Pantanal,BR-MT,1,,,,,,,,,2005
Bens Registrados,Modo de fazer Viola-de-Cocho,-15.595335432627492,-56.09326131146224,"[-15.595335432627493,-56.09326131146224]",https://bcr.iphan.gov.br/bens-culturais/modo-de-fazer-viola-de-cocho/,Janeiro,2005-01-14,66039,"Mar 28, 2023, 11:04 PM",publish,MS,Livro dos Saberes,Modo de fazer Viola-de-Cocho,regional,Fundação de Cultura e Turismo do Pantanal,BR-MS,1,,,,,,,,,2005
Bens Registrados,Ofício das Baianas de Acarajé,-12.973720558652506,-38.5117218626544,"[-12.973720558652506,-38.511721862654404]",https://bcr.iphan.gov.br/bens-culturais/oficio-das-baianas-de-acaraje/,Janeiro,2005-01-14,66041,"Mar 28, 2023, 11:04 PM",publish,BA,Livro dos Saberes,Ofício das Baianas de Acarajé,nacional,,BR-BA,1,,,,,,,,,2005
Bens Registrados,Ofício das Baianas de Acarajé,-12.973720558652506,-38.5117218626544,"[-12.973720558652506,-38.511721862654404]",https://bcr.iphan.gov.br/bens-culturais/oficio-das-baianas-de-acaraje/,Janeiro,2005-01-14,66041,"Mar 28, 2023, 11:04 PM",publish,CE,Livro dos Saberes,Ofício das Baianas de Acarajé,nacional,,BR-CE,1,,,,,,,,,2005
Bens Registrados,Ofício das Baianas de Acarajé,-12.973720558652506,-38.5117218626544,"[-12.973720558652506,-38.511721862654404]",https://bcr.iphan.gov.br/bens-culturais/oficio-das-baianas-de-acaraje/,Janeiro,2005-01-14,66041,"Mar 28, 2023, 11:04 PM",publish,DF,Livro dos Saberes,Ofício das Baianas de Acarajé,nacional,,BR-DF,1,,,,,,,,,2005
Bens Registrados,Ofício das Baianas de Acarajé,-12.973720558652506,-38.5117218626544,"[-12.973720558652506,-38.511721862654404]",https://bcr.iphan.gov.br/bens-culturais/oficio-das-baianas-de-acaraje/,Janeiro,2005-01-14,66041,"Mar 28, 2023, 11:04 PM",publish,RJ,Livro dos Saberes,Ofício das Baianas de Acarajé,nacional,,BR-RJ,1,,,,,,,,,2005
